epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.1157,0.91746,1.33388,1.06718,0.4217,0.50282,0.34817,0.26976,0.76302,0.58339,0.94709,0.000327869,0.000327869,0.000327869
2,118.963,0.77969,0.47559,0.95033,0.43781,0.61453,0.44369,0.34766,0.81925,0.46679,0.95281,0.00065302,0.00065302,0.00065302
3,173.073,0.77983,0.46071,0.95155,0.41936,0.58699,0.48134,0.37899,0.7648,0.45711,0.92865,0.000969921,0.000969921,0.000969921
4,229.531,0.7608,0.43405,0.94323,0.55559,0.70272,0.63588,0.52264,0.71173,0.37316,0.90821,0.000962875,0.000962875,0.000962875
5,288.078,0.74065,0.40007,0.93233,0.60592,0.70612,0.65606,0.53507,0.70384,0.35035,0.90145,0.0009505,0.0009505,0.0009505
6,344.624,0.72661,0.38575,0.92822,0.53404,0.63979,0.61813,0.50079,0.71814,0.37059,0.91433,0.000938125,0.000938125,0.000938125
7,399.99,0.73233,0.38217,0.93162,0.5717,0.72162,0.67571,0.55148,0.72744,0.36206,0.91734,0.00092575,0.00092575,0.00092575
8,454.947,0.72603,0.37496,0.92948,0.66428,0.67892,0.66894,0.54813,0.71674,0.34445,0.90706,0.000913375,0.000913375,0.000913375
9,510.697,0.72072,0.3666,0.92769,0.56067,0.72627,0.62319,0.49673,0.70794,0.34723,0.9045,0.000901,0.000901,0.000901
10,566.112,0.72071,0.36447,0.92368,0.66762,0.70565,0.67417,0.5538,0.70354,0.33221,0.90404,0.000888625,0.000888625,0.000888625
11,623.282,0.70467,0.35463,0.92168,0.67033,0.7536,0.68626,0.56905,0.69473,0.32926,0.90741,0.00087625,0.00087625,0.00087625
12,678.725,0.70451,0.3513,0.92057,0.65233,0.77884,0.7268,0.59707,0.68697,0.32396,0.89923,0.000863875,0.000863875,0.000863875
13,758.267,0.7056,0.34926,0.92011,0.56319,0.78162,0.711,0.58729,0.70743,0.33446,0.91212,0.0008515,0.0008515,0.0008515
14,813.461,0.70213,0.34543,0.9202,0.64216,0.7624,0.72148,0.599,0.69186,0.31796,0.90052,0.000839125,0.000839125,0.000839125
15,869.843,0.69512,0.34402,0.91646,0.69408,0.78876,0.75322,0.61955,0.69395,0.33429,0.90374,0.00082675,0.00082675,0.00082675
16,924.258,0.69901,0.34461,0.91893,0.75733,0.71209,0.72983,0.59272,0.69976,0.32966,0.90592,0.000814375,0.000814375,0.000814375
17,980.454,0.69761,0.33875,0.91859,0.65978,0.7595,0.73228,0.6017,0.67996,0.32016,0.9023,0.000802,0.000802,0.000802
18,1037.25,0.68898,0.33402,0.91515,0.71875,0.72472,0.73782,0.60198,0.68199,0.31608,0.89921,0.000789625,0.000789625,0.000789625
19,1091.49,0.68571,0.33207,0.9148,0.65417,0.8001,0.76042,0.61592,0.69356,0.31491,0.90442,0.00077725,0.00077725,0.00077725
20,1146.78,0.67936,0.32475,0.91193,0.64061,0.7711,0.70813,0.58897,0.68452,0.31264,0.90053,0.000764875,0.000764875,0.000764875
21,1201.12,0.67958,0.32624,0.91214,0.67168,0.74446,0.72337,0.59645,0.73795,0.32669,0.9146,0.0007525,0.0007525,0.0007525
22,1256.14,0.68275,0.32698,0.91167,0.70153,0.72117,0.73924,0.61733,0.67138,0.30214,0.89277,0.000740125,0.000740125,0.000740125
23,1311.67,0.67504,0.31739,0.91162,0.67973,0.7867,0.75156,0.62326,0.68456,0.30665,0.90184,0.00072775,0.00072775,0.00072775
24,1381.94,0.67853,0.32051,0.91198,0.7133,0.69803,0.72679,0.59709,0.68302,0.30871,0.89696,0.000715375,0.000715375,0.000715375
25,1438.52,0.66807,0.31982,0.90847,0.60988,0.80135,0.72577,0.60414,0.6953,0.30678,0.90593,0.000703,0.000703,0.000703
26,1494.01,0.67715,0.32018,0.91447,0.72237,0.66392,0.73793,0.60486,0.68554,0.3055,0.90649,0.000690625,0.000690625,0.000690625
27,1550.42,0.66824,0.31454,0.90861,0.68271,0.76229,0.75519,0.63283,0.66846,0.30151,0.90255,0.00067825,0.00067825,0.00067825
28,1619.98,0.66841,0.31244,0.91153,0.74897,0.70452,0.74748,0.62806,0.67091,0.29568,0.89743,0.000665875,0.000665875,0.000665875
29,1677.98,0.66567,0.31145,0.91044,0.7123,0.71626,0.75654,0.62951,0.67118,0.29505,0.8992,0.0006535,0.0006535,0.0006535
30,1733.16,0.66398,0.30984,0.90831,0.69987,0.74644,0.75537,0.63222,0.66497,0.293,0.89194,0.000641125,0.000641125,0.000641125
31,1788.58,0.65127,0.30307,0.90206,0.64675,0.78083,0.74251,0.61355,0.68894,0.30297,0.90737,0.00062875,0.00062875,0.00062875
32,1844.7,0.65496,0.30467,0.90605,0.66643,0.78274,0.75357,0.62427,0.66965,0.29958,0.89968,0.000616375,0.000616375,0.000616375
33,1901.05,0.65762,0.30445,0.90687,0.65971,0.74825,0.74126,0.61598,0.66622,0.28852,0.89563,0.000604,0.000604,0.000604
34,1955.55,0.6483,0.2973,0.90256,0.62618,0.7725,0.72731,0.61437,0.66309,0.28885,0.89528,0.000591625,0.000591625,0.000591625
35,2009.97,0.65155,0.30113,0.90334,0.65597,0.75406,0.75304,0.63254,0.6637,0.29157,0.89498,0.00057925,0.00057925,0.00057925
36,2065.81,0.65135,0.30336,0.90145,0.68368,0.75965,0.74938,0.62358,0.67217,0.29602,0.89812,0.000566875,0.000566875,0.000566875
37,2121.1,0.65443,0.3011,0.90434,0.7204,0.74419,0.75558,0.62935,0.67207,0.28983,0.9019,0.0005545,0.0005545,0.0005545
38,2176.92,0.65068,0.29673,0.90321,0.57606,0.75904,0.72119,0.60499,0.65643,0.28443,0.89448,0.000542125,0.000542125,0.000542125
39,2233.37,0.64382,0.29353,0.90246,0.61666,0.72097,0.71581,0.59515,0.66176,0.28988,0.8957,0.00052975,0.00052975,0.00052975
40,2288.03,0.64382,0.29367,0.90099,0.73005,0.69925,0.72873,0.60879,0.65838,0.28676,0.89558,0.000517375,0.000517375,0.000517375
41,2342.98,0.64125,0.2904,0.90205,0.64344,0.76179,0.70866,0.58734,0.65814,0.28526,0.89859,0.000505,0.000505,0.000505
42,2397.77,0.64005,0.29422,0.90122,0.74253,0.69189,0.73827,0.61737,0.65886,0.28489,0.89419,0.000492625,0.000492625,0.000492625
43,2454.14,0.63664,0.29068,0.89872,0.63552,0.76377,0.73696,0.61588,0.6706,0.28688,0.89895,0.00048025,0.00048025,0.00048025
44,2509.47,0.63955,0.28837,0.90193,0.61764,0.74703,0.74132,0.61749,0.66201,0.28864,0.8974,0.000467875,0.000467875,0.000467875
45,2565.3,0.6308,0.28803,0.89494,0.70951,0.75114,0.74871,0.63044,0.6759,0.28839,0.90181,0.0004555,0.0004555,0.0004555
46,2619.78,0.63337,0.287,0.90067,0.70387,0.68362,0.71836,0.60648,0.6572,0.28544,0.89846,0.000443125,0.000443125,0.000443125
47,2674.23,0.63462,0.28933,0.90167,0.70653,0.74075,0.74953,0.62419,0.66045,0.28858,0.90724,0.00043075,0.00043075,0.00043075
48,2729.31,0.62638,0.28289,0.89638,0.7308,0.70641,0.72355,0.60464,0.66082,0.28656,0.89897,0.000418375,0.000418375,0.000418375
49,2785.2,0.62539,0.28151,0.8959,0.71494,0.72567,0.74879,0.61999,0.65601,0.28186,0.89569,0.000406,0.000406,0.000406
50,2840.84,0.62658,0.28113,0.89484,0.66628,0.738,0.72915,0.61227,0.65846,0.28651,0.90028,0.000393625,0.000393625,0.000393625
51,2895.1,0.61952,0.27702,0.89287,0.68446,0.72163,0.72848,0.61734,0.66069,0.2809,0.89846,0.00038125,0.00038125,0.00038125
52,2951.6,0.61751,0.27788,0.89132,0.64057,0.77804,0.72782,0.60464,0.65908,0.28273,0.89669,0.000368875,0.000368875,0.000368875
53,3007.35,0.61501,0.27432,0.89178,0.68553,0.7379,0.72444,0.60629,0.6584,0.28112,0.90047,0.0003565,0.0003565,0.0003565
54,3062.98,0.61856,0.27561,0.89385,0.64561,0.75845,0.73373,0.61384,0.65836,0.27916,0.89872,0.000344125,0.000344125,0.000344125
55,3118.6,0.61113,0.27295,0.89244,0.651,0.75391,0.70722,0.58936,0.66516,0.28469,0.90334,0.00033175,0.00033175,0.00033175
56,3175.38,0.60786,0.27253,0.88927,0.69147,0.74868,0.72798,0.60832,0.65511,0.2816,0.89956,0.000319375,0.000319375,0.000319375
57,3231.84,0.61382,0.27204,0.89252,0.68811,0.76032,0.74068,0.62036,0.65798,0.28101,0.8997,0.000307,0.000307,0.000307
58,3287.98,0.60569,0.26995,0.88682,0.72083,0.71979,0.7368,0.62452,0.65713,0.28016,0.90161,0.000294625,0.000294625,0.000294625
59,3341.92,0.60422,0.26903,0.88938,0.65,0.75993,0.70874,0.59458,0.65677,0.27966,0.8994,0.00028225,0.00028225,0.00028225
60,3398.79,0.60317,0.26765,0.88977,0.72984,0.7015,0.71379,0.60039,0.6601,0.28004,0.90303,0.000269875,0.000269875,0.000269875
61,3454.78,0.60339,0.26584,0.8877,0.69123,0.74532,0.71188,0.59993,0.65243,0.27609,0.90151,0.0002575,0.0002575,0.0002575
62,3509.9,0.60096,0.2651,0.88784,0.67341,0.77071,0.72461,0.60573,0.65694,0.27735,0.89903,0.000245125,0.000245125,0.000245125
63,3578.38,0.60039,0.26569,0.88538,0.67836,0.72975,0.70012,0.5867,0.65778,0.27859,0.89899,0.00023275,0.00023275,0.00023275
64,3635.27,0.59218,0.26058,0.88281,0.70262,0.74052,0.72957,0.61417,0.65603,0.27563,0.89532,0.000220375,0.000220375,0.000220375
65,3700.25,0.59964,0.26294,0.88587,0.68292,0.69094,0.70334,0.5888,0.65915,0.27914,0.89931,0.000208,0.000208,0.000208
66,3755.64,0.59131,0.25897,0.88366,0.72318,0.68634,0.71749,0.60212,0.66081,0.27797,0.9018,0.000195625,0.000195625,0.000195625
67,3810.6,0.59242,0.26075,0.88523,0.73584,0.66751,0.70647,0.59523,0.65849,0.27783,0.90248,0.00018325,0.00018325,0.00018325
68,3866.15,0.59405,0.26079,0.88711,0.70597,0.73639,0.73724,0.62162,0.66047,0.2778,0.90269,0.000170875,0.000170875,0.000170875
69,3921.6,0.58845,0.25609,0.88528,0.72736,0.70635,0.72383,0.61338,0.66254,0.27759,0.90376,0.0001585,0.0001585,0.0001585
70,3976.84,0.58608,0.25638,0.88319,0.66396,0.75223,0.72328,0.61081,0.65811,0.27571,0.90125,0.000146125,0.000146125,0.000146125
71,4036.77,0.5774,0.25112,0.87723,0.70275,0.71051,0.71717,0.60206,0.66053,0.28031,0.90445,0.00013375,0.00013375,0.00013375
72,4090.57,0.56784,0.24347,0.87391,0.68254,0.76868,0.71679,0.60281,0.66035,0.27822,0.9023,0.000121375,0.000121375,0.000121375
73,4144.83,0.56226,0.24154,0.87435,0.69982,0.77177,0.72115,0.60436,0.66191,0.27835,0.90749,0.000109,0.000109,0.000109
74,4198.43,0.56317,0.24087,0.87414,0.70355,0.69155,0.69834,0.58854,0.66151,0.27707,0.90658,9.6625e-05,9.6625e-05,9.6625e-05
75,4252.96,0.5601,0.23868,0.87233,0.69593,0.71702,0.71259,0.60063,0.6586,0.27601,0.90634,8.425e-05,8.425e-05,8.425e-05
76,4308.56,0.55988,0.23885,0.87143,0.65392,0.78058,0.71153,0.59697,0.65994,0.27508,0.90567,7.1875e-05,7.1875e-05,7.1875e-05
77,4360.83,0.55536,0.23674,0.87078,0.66555,0.78679,0.71617,0.59722,0.66163,0.27765,0.90648,5.95e-05,5.95e-05,5.95e-05
78,4414.94,0.55498,0.23598,0.87,0.7282,0.71796,0.71643,0.60422,0.6599,0.27513,0.90563,4.7125e-05,4.7125e-05,4.7125e-05
79,4469.01,0.55147,0.23283,0.86938,0.69245,0.73153,0.71427,0.6037,0.66007,0.27414,0.90421,3.475e-05,3.475e-05,3.475e-05
80,4522.7,0.55,0.23389,0.86804,0.70019,0.71822,0.71493,0.60143,0.65933,0.2738,0.90471,2.2375e-05,2.2375e-05,2.2375e-05
